N,Q,A,P
1,什麼是尿路逆流？,尿路逆流是尿液從膀胱經輸尿管逆行到腎臟，容易造成尿路感染(UTI)，導致重複泌尿道感染或急性腎盂腎炎。,0
2,尿路逆流會影響什麼呢？,尿路逆流容易導致重複泌尿道感染或急性腎盂腎炎，長期會導致腎臟實質結疤，造成慢性腎臟病，嚴重甚至導致末期腎病需要長期透析或腎臟移植。,1
3,尿路逆流如何分級？,"逆流程度分為五級：
第一級：尿液逆流至輸尿管之下端
第二級：尿液逆流至輸尿管之上端
第三級：逆流到腎臟的腎盂
第四級：逆流造成腎盂與輸尿管的擴大
第五級：逆流造成腎盂與輸尿管的更嚴重的擴大",1
4,尿路逆流有哪些治療方式？,"1) 預防性抗生素治療
2) 膀胱鏡經尿道注射玻尿酸  
3) 手術進行輸尿管重植",1
5,為什麼要使用預防抗生素？,預防性抗生素主要是利用尿液中低濃度的抗生素，抑制細菌生長的速度，可以減少50%泌尿道感染的再發生。,4
6,小朋友長期吃藥會影響生長嗎？,目前預防性抗生素的使用沒有一定的建議時程，從半年到一年都有文獻建議。不過因為所使用的劑量為正常治療劑量的1/3~1/4，因此相對產生副作用的比例較低，也不會影響小朋友的生長。,5
7,長期使用預防性抗生素會不會有抗藥性的問題？,抗藥性的部分，因為使用預防性抗生素的選擇會不同於治療性抗生素的使用，所以抗藥性的問題是不需要擔心的。,5
8,如果在使用預防性抗生素的期間仍有感染的情形怎麼辦？,若有感染的情形，仍需要回到醫院根據小朋友的感染情形給予治療的抗生素，若是在預防性抗生素的使用中仍有重複感染的情形，進一步需考慮手術的治療，降低小朋友之後因重複感染導致腎臟結疤的風險。,5
9,萬一小朋友在預防性抗生素治療期間仍頻繁的重複感染，那怎麼辦？,如果在預防期間有重複感染的現象，首先還是要針對感染的細菌使用適當的抗生素治療。如果有需要，可能考慮追蹤膀胱泌尿道解尿攝影(VCUG)了解小朋友目前的尿路逆流的程度，或者進行核子醫學檢查(DMSA)，評估腎臟功能，進一步進行外科治療的思考。,5
10,外科治療有甚麼選擇？,目前對於外科治療分為兩種，有經尿道藉由膀胱鏡進行玻尿酸注射，另外就是直接進行手術將輸尿管重植手術。,4
11,經尿道進行玻尿酸注射的手術是甚麼？,此治療方式是藉由膀胱鏡經尿道進入膀胱，在輸尿管進入膀胱的入口下緣注射玻尿酸達到預防逆流的效果。,10
12,經尿道進行玻尿酸注射的手術會危險嗎？,此過程因為是經尿道利用膀胱鏡進行手術，因此小朋友須接受全身麻醉，不過因為是經尿道，所以身體表面上是沒有傷口的。,11
13,經尿道進行玻尿酸注射的手術的成功率為何？,由於玻尿酸會隨時間被吸收，因此仍然會造成逆流的復發，一般而言，級數越高的逆流相對於級數低的逆流成功率會比較低。因此，即使在進行玻尿酸注射的手術之後，仍需要在門診長期追蹤。,11
14,經尿道進行玻尿酸注射的手術需要自費嗎？會很貴嗎？,此手術需在術前進行健保事前審查，如果審查未獲通過，則為自費項目，此部分可以跟您的泌尿科醫師進行進一步的討論與詢問。,11
15,輸尿管重植手術是甚麼？是很大的手術嗎？,輸尿管重植手術是由外科醫師直接利用手術方式，將輸尿管的出口移動至不會產生逆流的位置。這是直接將逆流改善的方式，因此恢復的程度可以高達95%以上。,10
16,輸尿管重植的手術會危險嗎？,此過程因為是由外科醫師直接利用手術方式，將輸尿管的出口移動至不會產生逆流的位置，因此小朋友須接受全身麻醉，而身體表面也會有傷口。因此進行手術後可能會有傷口疼痛的問題，在開刀期間也會進行引流管的放置，因此住院時間會比較久，約5-7天。,15
17,輸尿管重植的手術還需要注意甚麼？,由於開刀時可能有引流管的放置，可能會需要再進開刀房進行引流管的移除手術。另外，手術後有極少部分的小朋友會有輸尿管的狹窄或阻塞的併發症，這些都可以藉由定期回診與超音波的檢查進行後續的追蹤與治療。,15
18,如果我暫時無法決定治療的方式，那可以甚麼都不要做嗎？,可以的，不過還是會建議必須定期回診，進行驗尿與超音波的檢查，觀察泌尿道感染復發的頻率，若追蹤狀況有變化，請隨時與您的醫師進行討論治療的選擇與適切性。,4
